Price,Close,High,Low,Open,Volume
Ticker,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS
Date,,,,,
2020-09-07,273.6398010253906,280.7571099926424,264.1919520018602,268.8336726751687,16053985
2020-09-08,266.7933044433594,282.35277765204916,261.0974967379632,274.8293028153868,16003690
2020-09-09,260.8847351074219,262.78010116081555,255.51774310738637,261.09748238463345,9501855
2020-09-10,265.1300048828125,267.66361280560585,261.1264959277952,263.03154173034005,3343925
2020-09-11,265.0718994140625,266.12598538112735,261.2908477798085,264.8688318979817,2226795
2020-09-14,264.54974365234375,268.44686364151977,261.09744808932993,263.031503260362,4307100
2020-09-15,264.9268798828125,268.44687460326935,263.25394097881457,265.93259687599175,1492300
2020-09-16,264.4627380371094,266.3194146387121,263.8051367923385,266.1260268113557,1160655
2020-09-17,265.1009826660156,265.7585544064508,262.83811192222737,263.2249466037472,1654570
2020-09-18,271.802490234375,274.6358743909677,265.1009951708673,266.12604220029226,3765725
2020-09-21,270.25518798828125,276.56987664879495,266.89960124149445,275.6028491080649,4736910
2020-09-22,262.1999206542969,268.833716913405,257.24871374031864,268.833716913405,2845595
2020-09-23,265.5167541503906,266.8995964259634,261.72599327413457,263.998513856116,1373740
2020-09-24,258.94097900390625,264.1919614866019,257.61615586677345,261.64867408666197,1996385
2020-09-25,261.4939270019531,263.031497286643,259.16338703242764,263.031497286643,1113420
2020-09-28,264.3950500488281,265.4491067126281,262.0645097235782,263.03153743473536,1182090
2020-09-29,267.54754638671875,269.80070777128816,263.8051246829453,264.96556963918624,2185520
2020-09-30,267.6732482910156,274.53915067694896,264.71414597023085,267.5572096919798,3184865
2020-10-01,266.7641906738281,272.70175366009613,264.9655336981076,272.70175366009613,1485980
2020-10-05,266.13568115234375,269.03676420981463,262.3062597796582,268.83369665896765,2033715
2020-10-06,263.7760925292969,265.54576946100883,263.0314919445651,263.61171437318114,1014955
2020-10-07,262.4320068359375,266.22273925308485,260.90408639868264,264.96561492840095,1969740
2020-10-08,262.1805419921875,264.9559067343339,261.097475703676,264.57878128199366,1342420
2020-10-09,261.2908935546875,264.2886557836052,260.80737970985007,264.2886557836052,756020
2020-10-12,258.12872314453125,264.92692738683843,257.2293943747412,262.06453336674764,2219655
2020-10-13,258.4864807128906,260.71066202908634,257.8772780789762,258.78625692542283,819350
2020-10-14,258.7862548828125,262.5673365302932,257.4227718682335,261.09746512846783,1730030
2020-10-15,257.1326599121094,260.6526549108161,256.4557582279035,259.16342398741375,1173905
2020-10-16,256.8619079589844,259.16343874126306,256.2623554717713,257.03596587243106,707750
2020-10-19,257.11376953125,258.6833039480808,256.8037300109635,257.71445262243253,597970
2020-10-20,258.1407775878906,260.1753715059719,256.93941127513756,256.93941127513756,1064730
